Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d3aac867845023e9b302c3,609075e9a3db190aabf0302c,APPROVED,2023-01-27T10:43:20.420000Z,2023-01-27T10:50:54.368000Z,2023-01-27T10:50:54.860000,2023-01-27T10:50:54.793374Z,454,CVCWHIQC,75,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63d3aaf1680ab699d3a45031,611fe4688040824ef73652ef,APPROVED,2023-01-27T10:44:03.054000Z,2023-01-27T10:49:45.082000Z,2023-01-27T10:49:58.265000Z,2023-01-27T10:50:09.812339Z,343,CVCWHIQC,161,27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
63d3aaf6df061f2ef1efcb55,6100174f92a7a0e5141b195e,APPROVED,2023-01-27T10:44:12.253000Z,2023-01-27T10:51:03.739000Z,2023-01-27T10:51:04.117000,2023-01-27T10:51:04.053126Z,412,CVCWHIQC,32,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
63d3ab1309478af28f34a053,608d4e91d08ff4d32dbba3ad,APPROVED,2023-01-27T10:44:37.686000Z,2023-01-27T10:55:57.421000Z,2023-01-27T10:55:57.815000,2023-01-27T10:55:57.759743Z,680,CVCWHIQC,163,30,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63d3ab1b127b39d4869092bf,60db521470b51a50415d3439,APPROVED,2023-01-27T10:46:47.774000Z,2023-01-27T11:02:08.221000Z,2023-01-27T11:02:08.593000,2023-01-27T11:02:08.536504Z,921,CVCWHIQC,345,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63d3ab228a2724753fc7287e,5c49e0b1d1150d0001e11987,APPROVED,2023-01-27T10:44:53.074000Z,2023-01-27T11:11:01.133000Z,2023-01-27T11:11:01.722000,2023-01-27T11:11:01.662016Z,1569,CVCWHIQC,524,40,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63d3ab276bd75c0723efcb92,61548fa2b637194e04c9bc09,APPROVED,2023-01-27T10:44:55.218000Z,2023-01-27T10:53:49.285000Z,2023-01-27T10:53:50.066000,2023-01-27T10:53:49.997765Z,535,CVCWHIQC,229,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63d3ab294f3b6ac921619c23,5e8249129bebe59709fbe308,APPROVED,2023-01-27T10:46:51.442000Z,2023-01-27T11:00:58.524000Z,2023-01-27T11:00:58.950000,2023-01-27T11:00:58.890428Z,848,CVCWHIQC,251,23,Female,White,Italy,Portugal,Italy,Italian,Yes,Other
