Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413349145dc21471039cc8e,611453573a9b20d357732403,AWAITING REVIEW,2023-03-16T15:24:01.209000Z,2023-03-16T15:38:09.366000Z,,2023-03-16T15:38:09.759778Z,849,CVCWHIQC,49,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413349714f7d978055525b5,5ea90157d75274376cef80f8,AWAITING REVIEW,2023-03-16T15:24:07.729000Z,2023-03-16T15:37:47.435000Z,,2023-03-16T15:37:47.797910Z,820,CVCWHIQC,147,33,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
641334a897f03ba04f23ef61,5a8b49d917ef35000170b814,AWAITING REVIEW,2023-03-16T15:24:24.103000Z,2023-03-16T15:42:26.697000Z,,2023-03-16T15:42:27.091223Z,1083,CVCWHIQC,510,47,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641334afd78947abf4867388,608ace41501cf3eb211c0633,AWAITING REVIEW,2023-03-16T15:24:34.556000Z,2023-03-16T15:33:27.118000Z,,2023-03-16T15:33:27.528059Z,533,CVCWHIQC,210,27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641334b1f42ac516f32b34ec,5f8825d4938a85280f506a83,AWAITING REVIEW,2023-03-16T15:24:33.873000Z,2023-03-16T15:32:02.268000Z,,2023-03-16T15:32:07.901972Z,449,CVCWHIQC,343,29,Male,White,France,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
641334b666fd664dc5e6361f,5f8f1accff1a7d11cf0a0786,AWAITING REVIEW,2023-03-16T15:24:38.803000Z,2023-03-16T15:34:18.639000Z,,2023-03-16T15:34:19.158714Z,580,CVCWHIQC,122,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641334bfb3976fa55efe7d75,605bb2d399a81480f9f2bd01,AWAITING REVIEW,2023-03-16T15:24:47.866000Z,2023-03-16T15:36:48.958000Z,,2023-03-16T15:36:49.396676Z,722,CVCWHIQC,128,27,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
641334c57962cb7497c13266,5ef945aa4ffead6e3ea69289,AWAITING REVIEW,2023-03-16T15:25:09.826000Z,2023-03-16T15:31:26.969000Z,,2023-03-16T15:31:28.383085Z,378,CVCWHIQC,420,30,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641334c57df84c3f085525c7,5e72490845c9c4024095bf96,AWAITING REVIEW,2023-03-16T15:24:53.342000Z,2023-03-16T15:39:29.452000Z,,2023-03-16T15:39:29.813697Z,877,CVCWHIQC,189,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
641334d2358784553fe3985a,606ddcdd3dc44202f80f488d,AWAITING REVIEW,2023-03-16T15:25:06.961000Z,2023-03-16T15:40:15.336000Z,,2023-03-16T15:40:20.071943Z,909,CVCWHIQC,192,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
641334d29e1c08082b80a93c,60da4ce26cddb624b295c7ff,AWAITING REVIEW,2023-03-16T15:25:06.224000Z,2023-03-16T15:52:21.992000Z,,2023-03-16T15:52:22.381473Z,1636,CVCWHIQC,33,24,Female,White,Germany,Portugal,Portugal,Portuguese,Yes,Other
641334e28299c8754731f083,610bb9c0c502bc7d0b4650f6,AWAITING REVIEW,2023-03-16T15:25:35.616000Z,2023-03-16T15:38:48.358000Z,,2023-03-16T15:38:50.856089Z,793,CVCWHIQC,258,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
641334e6c68e8234453ea2c7,5ca8c84e92fdc200129e9db3,AWAITING REVIEW,2023-03-16T15:25:31.294000Z,2023-03-16T15:39:48.650000Z,,2023-03-16T15:39:49.475265Z,858,CVCWHIQC,222,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
641334e8d78947abf486738f,5fe0b509b0feb8a1ed6ef32e,AWAITING REVIEW,2023-03-16T15:25:36.234000Z,2023-03-16T15:39:53.702000Z,,2023-03-16T15:40:00.670499Z,858,CVCWHIQC,117,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
641334ef46dee74452e39854,60bec2d1325a7544ecaaaeae,AWAITING REVIEW,2023-03-16T15:25:44.553000Z,2023-03-16T15:38:08.250000Z,,2023-03-16T15:38:08.620249Z,744,CVCWHIQC,109,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
641334f80610625157ef2e40,59789555a0b66b0001ea69ea,AWAITING REVIEW,2023-03-16T15:25:48.101000Z,2023-03-16T15:43:32.559000Z,,2023-03-16T15:43:35.222019Z,1065,CVCWHIQC,189,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641334f975ef62f3a5246fef,5fdb9ccbe6b281016f79a732,AWAITING REVIEW,2023-03-16T15:25:47.701000Z,2023-03-16T15:37:18.855000Z,,2023-03-16T15:37:19.335899Z,692,CVCWHIQC,126,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413350161743fdce8e253c8,60c36ee0ad1e69aae74b8a08,AWAITING REVIEW,2023-03-16T15:30:26.658000Z,2023-03-16T15:40:10.694000Z,,2023-03-16T15:40:26.352006Z,585,CVCWHIQC,174,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6413350503b07a951442ee37,5f8d7ad4cec12806fc99bde4,AWAITING REVIEW,2023-03-16T15:25:57.761000Z,2023-03-16T15:35:18.912000Z,,2023-03-16T15:35:19.283569Z,562,CVCWHIQC,133,34,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
